ndexNr,pokemon,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/squirtle,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/ivysaur,https://pokemonkg.org/instance/pokemon/venusaur,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/snorlax,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/blastoise,https://pokemonkg.org/instance/pokemon/mewtwo,https://pokemonkg.org/instance/pokemon/eevee,https://pokemonkg.org/instance/pokemon/charmeleon,https://pokemonkg.org/instance/pokemon/psyduck,https://pokemonkg.org/instance/pokemon/wartortle,https://pokemonkg.org/instance/pokemon/raichu,https://pokemonkg.org/instance/pokemon/oddish,https://pokemonkg.org/instance/pokemon/turtwig,https://pokemonkg.org/instance/pokemon/lucario,https://pokemonkg.org/instance/pokemon/mew,https://pokemonkg.org/instance/pokemon/gyarados
2,https://pokemonkg.org/instance/pokemon/ivysaur,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/venusaur,https://pokemonkg.org/instance/pokemon/wartortle,https://pokemonkg.org/instance/pokemon/squirtle,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/charmeleon,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/blastoise,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/raichu,https://pokemonkg.org/instance/pokemon/oddish,https://pokemonkg.org/instance/pokemon/mewtwo,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/eevee,https://pokemonkg.org/instance/pokemon/gyarados,https://pokemonkg.org/instance/pokemon/snorlax,https://pokemonkg.org/instance/pokemon/vulpix,https://pokemonkg.org/instance/pokemon/psyduck,https://pokemonkg.org/instance/pokemon/caterpie,https://pokemonkg.org/instance/pokemon/rhyhorn
3,https://pokemonkg.org/instance/pokemon/venusaur,https://pokemonkg.org/instance/pokemon/ivysaur,https://pokemonkg.org/instance/pokemon/blastoise,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/gyarados,https://pokemonkg.org/instance/pokemon/squirtle,https://pokemonkg.org/instance/pokemon/mewtwo,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/snorlax,https://pokemonkg.org/instance/pokemon/togepi,https://pokemonkg.org/instance/pokemon/raichu,https://pokemonkg.org/instance/pokemon/torterra,https://pokemonkg.org/instance/pokemon/wartortle,https://pokemonkg.org/instance/pokemon/charmeleon,https://pokemonkg.org/instance/pokemon/meganium,https://pokemonkg.org/instance/pokemon/blaziken,https://pokemonkg.org/instance/pokemon/metagross,https://pokemonkg.org/instance/pokemon/dragonite,https://pokemonkg.org/instance/pokemon/swampert
4,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/squirtle,https://pokemonkg.org/instance/pokemon/charmeleon,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/eevee,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/snorlax,https://pokemonkg.org/instance/pokemon/mewtwo,https://pokemonkg.org/instance/pokemon/venusaur,https://pokemonkg.org/instance/pokemon/raichu,https://pokemonkg.org/instance/pokemon/blastoise,https://pokemonkg.org/instance/pokemon/pichu,https://pokemonkg.org/instance/pokemon/ivysaur,https://pokemonkg.org/instance/pokemon/cyndaquil,https://pokemonkg.org/instance/pokemon/mew,https://pokemonkg.org/instance/pokemon/chimchar,https://pokemonkg.org/instance/pokemon/psyduck,https://pokemonkg.org/instance/pokemon/gyarados,https://pokemonkg.org/instance/pokemon/wartortle
5,https://pokemonkg.org/instance/pokemon/charmeleon,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/squirtle,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/ivysaur,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/venusaur,https://pokemonkg.org/instance/pokemon/blastoise,https://pokemonkg.org/instance/pokemon/raichu,https://pokemonkg.org/instance/pokemon/mewtwo,https://pokemonkg.org/instance/pokemon/eevee,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/gyarados,https://pokemonkg.org/instance/pokemon/psyduck,https://pokemonkg.org/instance/pokemon/snorlax,https://pokemonkg.org/instance/pokemon/wartortle,https://pokemonkg.org/instance/pokemon/pidgeotto,https://pokemonkg.org/instance/pokemon/vulpix,https://pokemonkg.org/instance/pokemon/growlithe,https://pokemonkg.org/instance/pokemon/arcanine
6,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/charmeleon,https://pokemonkg.org/instance/pokemon/blastoise,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/mewtwo,https://pokemonkg.org/instance/pokemon/venusaur,https://pokemonkg.org/instance/pokemon/dragonite,https://pokemonkg.org/instance/pokemon/gyarados,https://pokemonkg.org/instance/pokemon/squirtle,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/greninja,https://pokemonkg.org/instance/pokemon/snorlax,https://pokemonkg.org/instance/pokemon/lucario,https://pokemonkg.org/instance/pokemon/raichu,https://pokemonkg.org/instance/pokemon/eevee,https://pokemonkg.org/instance/pokemon/blaziken,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/garchomp,https://pokemonkg.org/instance/pokemon/pichu,https://pokemonkg.org/instance/pokemon/mew
7,https://pokemonkg.org/instance/pokemon/squirtle,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/wartortle,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/blastoise,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/snorlax,https://pokemonkg.org/instance/pokemon/eevee,https://pokemonkg.org/instance/pokemon/venusaur,https://pokemonkg.org/instance/pokemon/mewtwo,https://pokemonkg.org/instance/pokemon/charmeleon,https://pokemonkg.org/instance/pokemon/ivysaur,https://pokemonkg.org/instance/pokemon/psyduck,https://pokemonkg.org/instance/pokemon/gyarados,https://pokemonkg.org/instance/pokemon/lucario,https://pokemonkg.org/instance/pokemon/raichu,https://pokemonkg.org/instance/pokemon/ditto,https://pokemonkg.org/instance/pokemon/piplup,https://pokemonkg.org/instance/pokemon/pichu
8,https://pokemonkg.org/instance/pokemon/wartortle,https://pokemonkg.org/instance/pokemon/blastoise,https://pokemonkg.org/instance/pokemon/squirtle,https://pokemonkg.org/instance/pokemon/ivysaur,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/venusaur,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/raichu,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/charmeleon,https://pokemonkg.org/instance/pokemon/gyarados,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/eevee,https://pokemonkg.org/instance/pokemon/psyduck,https://pokemonkg.org/instance/pokemon/snorlax,https://pokemonkg.org/instance/pokemon/caterpie,https://pokemonkg.org/instance/pokemon/mantine,https://pokemonkg.org/instance/pokemon/lapras,https://pokemonkg.org/instance/pokemon/mew,https://pokemonkg.org/instance/pokemon/prinplup
9,https://pokemonkg.org/instance/pokemon/blastoise,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/venusaur,https://pokemonkg.org/instance/pokemon/wartortle,https://pokemonkg.org/instance/pokemon/squirtle,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/gyarados,https://pokemonkg.org/instance/pokemon/snorlax,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/mewtwo,https://pokemonkg.org/instance/pokemon/raichu,https://pokemonkg.org/instance/pokemon/blaziken,https://pokemonkg.org/instance/pokemon/charmeleon,https://pokemonkg.org/instance/pokemon/ivysaur,https://pokemonkg.org/instance/pokemon/lapras,https://pokemonkg.org/instance/pokemon/eevee,https://pokemonkg.org/instance/pokemon/lucario,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/dragonite,https://pokemonkg.org/instance/pokemon/tyranitar
10,https://pokemonkg.org/instance/pokemon/caterpie,https://pokemonkg.org/instance/pokemon/metapod,https://pokemonkg.org/instance/pokemon/butterfree,https://pokemonkg.org/instance/pokemon/weedle,https://pokemonkg.org/instance/pokemon/wurmple,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/pidgey,https://pokemonkg.org/instance/pokemon/squirtle,https://pokemonkg.org/instance/pokemon/kakuna,https://pokemonkg.org/instance/pokemon/rattata,https://pokemonkg.org/instance/pokemon/venomoth,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/blastoise,https://pokemonkg.org/instance/pokemon/magikarp,https://pokemonkg.org/instance/pokemon/raichu,https://pokemonkg.org/instance/pokemon/oddish,https://pokemonkg.org/instance/pokemon/venonat,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/snorlax
